K_Tr_AB_nCi_3_M25(M8)_SS7_T_KA_a-e-v_MID,N3_TrB_AB_nCi_3_M26(M11)_MP2_T_LGA[0.0-1.0]_r-p_MID,P2_B_AB_nCi_2_NS3_H_T_LGP[2-4]_c-h_MAS,SD_B_AB_Ci(2.0;-2.0)_2_MP7_H_n_X_LGP[4-6]_e-p_MAS,GV[5]_K_Tr_AB_nCi_3_M22(M1)_NS1_T_KA_m-a-c_MID,AC[5]_K_TrC_AB_nCi_3_M21(M1)_NS4_C_KA_m_MID,AC[3]_N2_Tr_AB_nCi_3_M20(M13)_MP2_C_KA_r-p-c_MID,N3_B_AB_nCi_2_SS8_C_LGP[1]_r-c_MAS,Q2_B_AB_nCi_2_SS1_T_LGP[1;2;6]_c-p_MAS,GV[6]_N2_Tr_AB_nCi_3_M20(M13)_MP4_T_LG3L[1-2]_LGL[1-2]_v-p-c_MID,MX_B_AB_nCi_2_SS6_T_LGP[1;2;6]_r-c_MAS,pIC50
3.101286252,0.524799241,1.310018984,0.01701298,0.483144007,0,0,0,0.024330878,1.21E-04,0.165111241,4.813693616
-0.713588702,0.567927127,1.121930257,0.017302668,14.86897065,0,0,0,0.002129158,7.47E-06,0.131527117,4.709208817
-0.76156684,0.572883396,1.109810921,0.01800808,6.506595561,0,0,0,0.00458481,1.40E-05,0.156370143,4.628913658
3.999211151,0.53579406,1.234811492,0.019384014,14.89454932,7.395713625,0.001295952,-0.024489685,0.037732308,0.00251585,0.16177276,4.592201339
4.719686839,0.55499408,1.420263945,0.021408649,5.838708069,0,0,0,0.024704938,6.95E-04,0.246819201,4.257321992
4.722498097,0.585461209,1.408197217,0.023625008,3.322189104,0,0,0,0.024665063,5.23E-04,0.192478164,5.058985756
4.954867572,0.575687692,1.406338985,0.021521836,12.11479085,0,0,0,0.024665061,4.34E-04,0.166719286,4.505831487
3.344347926,0.556999778,1.306593475,0.020636181,5.018349717,4.529409081,0.00108135,-0.017068536,0.024469194,5.01E-04,0.213733497,4.095663208
3.450570845,0.591427847,1.35474921,0.032690932,6.310813755,5.355881115,8.82E-04,-0.01871555,0.002206697,8.09E-04,0.234780527,5.460547508
5.793376033,0.586885367,1.295684036,0.022866229,15.92531979,16,9.09E-04,-0.019740614,0.024399553,7.03E-04,0.182148243,4.135056027
3.516181333,0.541489142,1.289989211,0.027358389,12.70609589,4.856291769,6.92E-04,-0.016299012,0.024468958,4.07E-04,0.187002565,4.301238507
1.484627532,0.563457252,1.259034398,0.031823915,0.624079509,21.99979777,0.00167808,-0.021533662,0.002123769,0.010379855,0.20352607,5.103639155
-0.192713503,0.575888776,1.171217782,0.017551221,6.773279992,3.153040797,9.13E-05,0.001972903,0.024750012,4.47E-05,0.171811995,4.529119302
3.416298602,0.445434898,1.430460577,0.02648659,4.937209995,18.7441626,5.77E-04,0.027644267,0.025896248,0.00900183,0.338536832,5.229147988
4.307062784,0.489510988,1.39746992,0.027278545,9.578269576,25.56943555,0.001654673,0.006363255,-0.002907596,0.008562809,0.32965076,4.996539468
3.261880772,0.438388024,1.445940625,0.026305345,11.45686841,31,5.57E-04,0.027287777,0.025871222,0.009064256,0.338542519,4.326610422
3.376044918,0.472820803,1.458481316,0.028953655,12.40233344,23.92782225,6.22E-04,0.026722665,0.008333494,0.009524388,0.338547565,4.384997385
2.78917875,0.444260763,1.408258641,0.020590041,1.592655358,18.13427474,0.006170875,0.050735769,-5.49E-04,0.047519955,0.205673704,7.97689434
2.733985742,0.426024462,1.426991578,0.020018732,1.372267011,22.25870601,0.005499366,0.051374913,0.032883319,0.044537421,0.22246775,7.662582133
2.659532792,0.41880437,1.426520664,0.019292174,1.512042182,48.99999337,0.00563964,0.050850298,0.137489456,0.044817172,0.205673704,7.297793877
3.07083357,0.4286039,1.387644765,0.019843526,1.281241954,22.25928607,0.005688868,0.051281146,0.021632823,0.044676418,0.205673952,7.4158226
2.610676817,0.424605665,1.394763392,0.019367307,1.627796489,18.63458505,0.005867196,0.050929331,0.121897228,0.04709017,0.205673708,7.172572856
2.600025124,0.422696619,1.39765904,0.019208413,26.77669054,48.99999766,0.005973831,0.050849676,0.124069477,0.04737358,0.205673704,6.355576109
2.679292616,0.424527969,1.385977399,0.0193931,1.786742197,18.68060423,0.00597279,0.050926133,0.101821527,0.047136575,0.205673707,7.143117876
2.613081633,0.423601277,1.38851403,0.019220256,7.190196073,48.99986424,0.00605873,0.050849447,0.102574472,0.047387828,0.205673704,6.304509611
2.297478105,0.422365417,1.35614883,0.019863836,1.064522548,21.7535995,0.005678746,0.050912841,0.046742984,0.04446306,0.205673703,7.363518757
2.754839003,0.421579915,1.359421879,0.019726276,5.574248673,48.99997357,0.00595877,0.050848068,0.045958367,0.047349036,0.205673704,6.450522951
3.306418306,0.392216351,1.382072047,0.018807352,23.03022027,14.68436983,0.005591385,0.051643305,0.027957083,0.037163771,0.260067792,7.050820447
2.879210763,0.374579152,1.380730288,0.01835451,2.49016439,20.3449546,0.004729889,0.051082529,0.137511009,0.042983264,0.220119637,6.832503871
1.109099167,0.352036819,1.395552317,0.016709856,1.314782522,24.76479228,0.004446066,0.075780406,0.066270058,0.038928057,0.267133583,6.780256515
1.265222481,0.348013358,1.40404234,0.016635083,31.45096594,51.99999925,0.004973787,0.077604429,0.066941521,0.043906341,0.273056159,5.670582555
1.735688162,0.427956878,1.393141111,0.020085775,2.101230226,18.87915622,0.005742949,0.053436796,0.023438011,0.047816275,0.222594623,7.634716954
1.718870817,0.420945895,1.392644934,0.019376043,1.947085329,48.99970625,0.00589057,0.052965829,0.033827071,0.04809428,0.205100391,7.267266268
2.01054367,0.430544457,1.352137077,0.019927227,1.786821707,18.91886129,0.005930072,0.053350578,0.013020579,0.047934181,0.205100628,6.938701346
1.705401341,0.425273124,1.358580439,0.019465709,1.490185887,18.71102869,0.005924737,0.053036539,0.02000953,0.047863412,0.205100395,6.756558814
1.679322945,0.423441067,1.361756491,0.019299263,32.07814287,48.9999977,0.006031869,0.052965284,0.019815762,0.048138533,0.205100391,5.90877765
